repo,number,title,state,created_at,closed_at,labels
ollama/ollama,13223,Ollama Exposes the Local Model Directory via Network Requests in ollama/ollama,open,2025-11-24 04:22:44,,bug
ollama/ollama,13222,Add Atlas UI to community integrations,open,2025-11-24 02:38:41,,
ollama/ollama,13221,🦙 Stable build Ollama with latest bugs fixed🦙,closed,2025-11-24 00:02:01,2025-11-24 00:22:54,
ollama/ollama,13220,docs: fix link to modelfile.mdx,open,2025-11-23 20:31:06,,
ollama/ollama,13219,Request for 2 vision/document layout models,closed,2025-11-23 17:38:35,2025-11-25 01:35:26,
ollama/ollama,13218,Pulling heretic gpt-oss is broken,closed,2025-11-23 16:54:36,2025-11-23 21:08:03,bug
ollama/ollama,13217,Power adjustment during use,closed,2025-11-23 15:43:32,2025-11-25 01:37:58,
ollama/ollama,13216,cmd/bench: fix options table in cmd/bench/README.md,open,2025-11-23 15:42:07,,
ollama/ollama,13215,Gemma3n broken with Vulkan,open,2025-11-23 15:40:21,,"bug,vulkan"
ollama/ollama,13214,m4 mac显示有问题,open,2025-11-23 14:21:24,,bug
ollama/ollama,13213,Add /api/models/size endpoint to report total storage usage,open,2025-11-23 14:18:15,,
ollama/ollama,13212,Vulkan is enabled by default and can't be disabled with OLLAMA_VULKAN=0,closed,2025-11-23 10:45:18,2025-11-23 11:10:39,bug
ollama/ollama,13211,Windows GUI - Version 0.13.0 some models (gemma3:27b) does't accept images,open,2025-11-23 08:50:33,,"bug,app"
ollama/ollama,13210,v0.13.0 release notes,closed,2025-11-23 08:18:49,2025-11-23 15:11:51,
ollama/ollama,13209,ollama ui does not launch on linux,closed,2025-11-23 06:47:18,2025-11-25 01:41:58,bug
ollama/ollama,13208,Cache Question,open,2025-11-23 03:26:10,,bug
ollama/ollama,13207,Discord invites aren't working,open,2025-11-22 19:04:39,,
ollama/ollama,13206,Structured output request don't work in Cloud's Qwen3-coder,open,2025-11-22 12:12:00,,bug
ollama/ollama,13205,🦙 Stable build Ollama with latest bugs fixed🦙,closed,2025-11-22 10:53:15,2025-11-22 11:06:58,
ollama/ollama,13204,"Local Ollama 3.3 stopped responding, I have 64 GB ram!",open,2025-11-22 08:02:54,,bug
ollama/ollama,13203,fix: prevent overwriting existing systemd service file,open,2025-11-22 06:47:59,,
ollama/ollama,13202,Low Priority - Link Error,closed,2025-11-22 03:42:25,2025-11-26 02:06:30,
ollama/ollama,13201,nomic-text-embed: set batchSize equal to contextLength ,open,2025-11-22 00:35:09,,
ollama/ollama,13200,Feature Proposal: GUI Support for Remote Ollama Instances,open,2025-11-21 23:13:20,,feature request
ollama/ollama,13199,🦙 Stable build Ollama with latest bugs fixed🦙,closed,2025-11-21 21:54:51,2025-11-21 23:03:32,
ollama/ollama,13198,deepseek-ocr via UI only answers if you query it twice,closed,2025-11-21 19:03:08,2025-11-21 19:20:41,bug
ollama/ollama,13197,Claude/audit mcp integration 016i r kd ztcf5 k1 wzq et l wr86,closed,2025-11-21 18:21:07,2025-11-21 19:20:38,
ollama/ollama,13196,amd: use GTT on iGPUs on linux,open,2025-11-21 17:57:21,,
ollama/ollama,13195,Computer Crashes When Running the Deepseek-OCR Model,open,2025-11-21 13:48:29,,bug
ollama/ollama,13194,Error: 500 Internal Server Error: unable to load model,closed,2025-11-21 12:54:35,2025-11-21 12:57:45,bug
ollama/ollama,13193,More DeepSeek-OCR quantizations,closed,2025-11-21 12:29:19,2025-11-21 13:43:05,
ollama/ollama,13192,fuckkkkkk ollama piece of shit !!!! fuckkkkkk this ollam autoupdate which cannot be disable and fuckkkkkk this piece of shit not support moe on gpu,closed,2025-11-21 12:27:53,2025-11-21 19:22:49,bug
ollama/ollama,13191,docs: add MindMap to community integrations,open,2025-11-21 12:13:05,,
ollama/ollama,13190,"Vulkan an, nur am loopen",open,2025-11-21 10:27:21,,"bug,vulkan"
ollama/ollama,13189,"Same prompt, inconsistent results based on ollama inference and direct inference",open,2025-11-21 09:23:01,,bug
ollama/ollama,13188,"AMD 780M GPU Acceleration Not Working with 2024.12 Driver, Works with 2025.11 (Ollama 0.13.0)",closed,2025-11-21 07:03:31,2025-11-21 21:52:19,"bug,amd"
ollama/ollama,13187,Custom Qwen3VLMoE models not working,open,2025-11-21 05:45:56,,bug
ollama/ollama,13186,discover: increase GPU discovery timeout when HSA_OVERRIDE_GFX_VERSION is set,open,2025-11-21 05:08:40,,
ollama/ollama,13185,docs: Fix typos,open,2025-11-21 04:58:35,,
ollama/ollama,13184,Formatted Outputs's Schemas,open,2025-11-21 01:57:38,,
ollama/ollama,13183,How to use reranker models in Ollama?,closed,2025-11-20 22:53:23,2025-11-21 21:46:24,feature request
ollama/ollama,13182,Deepseek v3 family parser,open,2025-11-20 22:42:39,,
ollama/ollama,13181,docs: clarify num_ctx parameter description,open,2025-11-20 22:18:58,,
ollama/ollama,13180,Deepseek v3 family renderer,open,2025-11-20 21:23:19,,
ollama/ollama,13179,app/ui: fix model capabilities not updating after download completion,open,2025-11-20 21:13:03,,
ollama/ollama,13178,Install script overwrites systemd config,open,2025-11-20 20:36:02,,bug
ollama/ollama,13177,deepseek-ocr :: Not able to run this model,closed,2025-11-20 20:04:17,2025-11-20 20:22:08,bug
ollama/ollama,13176,discovery: fix cuda overlap case,closed,2025-11-20 17:25:01,2025-11-20 20:15:38,
ollama/ollama,13175,Add support for reasoning_content in the OpenAI compliant API,open,2025-11-20 17:17:30,,feature request
ollama/ollama,13174,app/cmd: update ollama help to navigate to ollama doc,closed,2025-11-20 15:59:05,2025-11-20 21:30:35,
ollama/ollama,13173,New AMD memory detection routines ignores unified memory on AMD APU,open,2025-11-20 15:58:11,,"bug,amd"
ollama/ollama,13172,Version stuck at 0.13.0,closed,2025-11-20 15:12:16,2025-11-23 22:22:29,bug
ollama/ollama,13171,Error: 500 Internal Server Error: llama runner process has terminated: exit status 2,closed,2025-11-20 06:05:54,2025-11-21 01:36:32,bug
ollama/ollama,13170,Failed to concurrent call embed api,open,2025-11-20 06:02:45,,bug
ollama/ollama,13169,Ollama 0.13.0 docker fails with cuda on ARM,open,2025-11-20 05:04:12,,"bug,nvidia,docker"
ollama/ollama,13168,deepseek-ocr模型对话重复,closed,2025-11-20 03:58:12,2025-11-26 05:55:39,bug
ollama/ollama,13167,download.go: no resumable download support — failed transfers restart from zero,open,2025-11-20 02:56:08,,
ollama/ollama,13166,deepseek2: upgrade to run v3+ models,closed,2025-11-20 00:16:45,2025-11-20 01:05:39,
ollama/ollama,13165,Support overriding tensor-split from config,open,2025-11-20 00:08:34,,
ollama/ollama,13164,app: open app instead of always navigating to / on connect,closed,2025-11-19 23:00:10,2025-11-20 20:59:18,
ollama/ollama,13163,Ollama 0.12.11 Not Using GPU on RTX 5070 Ti (Blackwell/CC 12.0),closed,2025-11-19 20:59:14,2025-11-28 11:09:57,"bug,nvidia"
ollama/ollama,13162,nomic-embed-text:v2: model implementation ,open,2025-11-19 20:06:48,,
ollama/ollama,13161,app/ui: add gemini-3-pro-preview to featured list,open,2025-11-19 20:01:27,,
ollama/ollama,13160,kvcache: Run tests both with and without PermutedV,closed,2025-11-19 20:01:13,2025-11-20 00:45:30,
ollama/ollama,13159,app/ui: handle unspecified bind addresses and wait for server in ollama proxy,open,2025-11-19 18:58:35,,
ollama/ollama,13158,app/ui: handle unspecified bind addresses in ollama proxy,closed,2025-11-19 16:28:57,2025-11-19 17:36:43,
ollama/ollama,13157,which quantization ollama cloud models use,closed,2025-11-19 14:25:57,2025-11-28 10:34:34,feature request
ollama/ollama,13156,Vulkan Backhand on R5 3500u,closed,2025-11-19 12:05:50,2025-11-19 22:48:54,bug
ollama/ollama,13155,不支持添加api key,closed,2025-11-19 10:37:06,2025-11-19 11:08:13,bug
ollama/ollama,13154,`think` Parameter Not Suppressing Reasoning in qwen3:4b When Set to `False`,closed,2025-11-19 06:20:55,2025-11-19 07:58:54,bug
ollama/ollama,13153,Vulkan,open,2025-11-19 05:58:50,,"bug,performance,vulkan"
ollama/ollama,13152,GPT-OSS: 120B doesnt share between CPU/GPU @ CTX over 8192,open,2025-11-19 05:53:08,,"bug,needs more info"
ollama/ollama,13151,models: enable deepseek2 (deepseek v3.1 w/ MLA) on the new engine,closed,2025-11-19 05:52:56,2025-11-19 06:03:50,
ollama/ollama,13150,"""runtime error: invalid memory address or nil pointer dereference"" with Qwen3 VL",open,2025-11-19 05:01:58,,bug
ollama/ollama,13149,chore: mark vulkan shaders as vendored files,closed,2025-11-19 04:00:01,2025-11-19 20:01:23,
ollama/ollama,13148,Add ToolCalls to ChatResponse,closed,2025-11-19 03:40:59,2025-11-23 06:55:56,feature request
ollama/ollama,13147,Ollama add remote server support,open,2025-11-19 03:36:53,,
ollama/ollama,13146,The qwen2.5-vl:30b model encounters an error when running under Vulkan.,open,2025-11-19 03:12:31,,"bug,vulkan"
ollama/ollama,13145,Parser for Cogito v2,closed,2025-11-19 02:59:08,2025-11-20 01:21:07,
ollama/ollama,13144,nomic-embed: nomic-embed-text defaulted to ollama runner ,closed,2025-11-19 02:46:03,2025-11-19 21:03:45,
ollama/ollama,13143,Deepseekv2 models default to new engine,closed,2025-11-19 02:22:24,2025-11-19 19:19:38,
ollama/ollama,13142,feat: add API endpoint to cancel/abort ongoing model downloads,open,2025-11-19 02:22:04,,feature request
ollama/ollama,13141,kvcache: Use SetRows to store cache data,closed,2025-11-19 00:21:00,2025-11-19 04:42:28,
ollama/ollama,13140,refactor rope,open,2025-11-19 00:17:26,,
ollama/ollama,13139,Renderer for Cogito,closed,2025-11-18 23:28:11,2025-11-19 03:06:34,
ollama/ollama,13138,win: exit instead of abort,closed,2025-11-18 22:00:33,2025-11-19 00:33:33,
ollama/ollama,13137,app/ui: use requestAnimationFrame to prevent bottom line cutoff in streaming thinking display,open,2025-11-18 21:55:32,,
ollama/ollama,13136,python not detecting ollama,closed,2025-11-18 20:28:12,2025-11-20 21:06:42,bug
ollama/ollama,13135,Ready for team review,open,2025-11-18 19:24:50,,
ollama/ollama,13134,test:  fix data race in unit tests,open,2025-11-18 16:33:23,,
ollama/ollama,13133,KUHUL OS AI,closed,2025-11-18 15:05:48,2025-11-19 20:16:21,
ollama/ollama,13132,pull model manifest: 500,closed,2025-11-18 14:24:08,2025-11-18 14:27:34,
ollama/ollama,13131,Add H'uhul Multi Hive OS - Ollama-powered multi-agent system,closed,2025-11-18 14:21:19,2025-11-19 20:13:30,
ollama/ollama,13130,Documentation about Vulkan enablement in docker for Intel iGPU/GPU missing?,open,2025-11-18 12:40:08,,"bug,docker,gpu,vulkan"
ollama/ollama,13129,Ollama unable to pull model,closed,2025-11-18 12:03:07,2025-11-18 18:04:53,bug
ollama/ollama,13128,ollama返回类型是application/x-ndjson，不支持流式传输,closed,2025-11-18 11:26:40,2025-11-18 11:40:48,
ollama/ollama,13127,Vulkan - macOS AMD GPU,open,2025-11-18 10:05:18,,"feature request,macos,vulkan"
ollama/ollama,13126,Ollama cannot properly use the GPU on a dual-GPU laptop after enabling Vulkan,open,2025-11-18 05:57:25,,"bug,vulkan"
ollama/ollama,13125,ollama部署的qwen3-vl视觉模型，调用api做视频理解,closed,2025-11-18 03:29:24,2025-11-19 02:26:06,
ollama/ollama,13124,docs: add Void Editor to community integrations,closed,2025-11-17 23:35:13,2025-11-18 03:20:36,
ollama/ollama,13123,ci: fix missing vulkan binaries in linux bundles,closed,2025-11-17 23:29:05,2025-11-17 23:39:59,
ollama/ollama,13122,env: expose user visible num_thread override,open,2025-11-17 23:24:20,,
ollama/ollama,13121,chore: run the linter,open,2025-11-17 23:11:06,,
ollama/ollama,13120,app/cmd: restrict ollama:// URL scheme to supported paths,closed,2025-11-17 22:37:05,2025-11-18 01:10:45,
ollama/ollama,13119,Persistent 500 Internal Server Error trying to operate deepseek-r1:70b on Windows,closed,2025-11-17 21:57:59,2025-11-18 05:19:50,bug
ollama/ollama,13118,qwen3-vl failed to offloaded layer to Radeon iGPU on AI MAX 395 on windows,closed,2025-11-17 13:17:39,2025-11-18 01:15:59,bug
ollama/ollama,13117,Ollamaa,closed,2025-11-17 10:52:15,2025-11-17 19:43:39,
ollama/ollama,13116,docs: fix typo,closed,2025-11-17 10:01:29,2025-11-18 21:18:42,
ollama/ollama,13115,docs: fix typo,closed,2025-11-17 09:59:24,2025-11-17 09:59:47,
ollama/ollama,13114,How to build on Asend 910B,open,2025-11-17 09:08:10,,feature request
ollama/ollama,13113,The qwen3-vl model reports an error after uploading a small image,closed,2025-11-17 07:48:10,2025-11-18 02:43:50,bug
ollama/ollama,13112,0.12.11 much slower on gpt-oss:20b than 0.12.10,closed,2025-11-17 01:46:54,2025-11-19 04:42:29,"bug,performance,nvidia"
ollama/ollama,13111,OpenAI API compatibility layer seems not to support `n` (i.e. multi-choice output),open,2025-11-16 23:01:01,,feature request
ollama/ollama,13110,docs: don't hardcode list of cloud models,closed,2025-11-16 21:02:19,2025-11-17 04:56:09,
ollama/ollama,13109,migrate to golangci-lint v2,closed,2025-11-16 20:09:38,2025-11-18 19:00:26,
ollama/ollama,13108,vulkan lobotomizes models,open,2025-11-16 18:59:49,,"bug,vulkan"
ollama/ollama,13107,AIMAX395 with ROCM 7.0.2 have a wrong VRAM size.,open,2025-11-16 12:59:13,,bug
ollama/ollama,13106,AsyncClient().chat is not determinable,open,2025-11-16 11:34:32,,bug
ollama/ollama,13105,Ollama app's chat interface does not list all the Ollama models I have downloaded!,open,2025-11-16 11:30:34,,"bug,app"
ollama/ollama,13104,Linux tarballs for 0.12.11 don't contain Vulkan libraries.,closed,2025-11-16 00:19:57,2025-11-17 23:40:00,"bug,vulkan"
ollama/ollama,13103,"ollama with vulkan specified, does not load to GPU",open,2025-11-15 22:44:47,,"bug,linux,intel,vulkan"
ollama/ollama,13102,REMOVE THE TRANSACTION,closed,2025-11-15 21:25:58,2025-11-15 23:09:28,feature request
ollama/ollama,13101,ollama run qwen3-vl-4b-instruct error,closed,2025-11-15 16:48:18,2025-11-20 14:22:27,
ollama/ollama,13100,Allow usage of the already-installed llama.cpp when building,open,2025-11-15 16:32:35,,feature request
ollama/ollama,13099,qwen3-vl is not accepting images for ocr with latest version 0.12.11,closed,2025-11-15 13:23:26,2025-11-20 14:33:25,bug
ollama/ollama,13098,Allow Model Registry to be used with Ollama API KEY,open,2025-11-15 11:39:44,,feature request
ollama/ollama,13097,panic: failed to sample token with Vulkan,open,2025-11-15 09:24:50,,"bug,vulkan"
ollama/ollama,13096,Fix a typo in `runner.go`,closed,2025-11-15 08:53:20,2025-11-16 02:52:54,
ollama/ollama,13095,error 500 not enough system memory. Truenas 25.10.0,open,2025-11-15 07:36:19,,bug
ollama/ollama,13094,The bottom line of the real-time rendering by thinking cannot be displayed,open,2025-11-15 04:12:15,,"bug,app"
ollama/ollama,13093,"It seems Qwen models do not ""see"" tools when run thro goose",open,2025-11-15 01:25:08,,bug
ollama/ollama,13092,logprobs does not contain tool call information,open,2025-11-15 00:05:51,,bug
ollama/ollama,13091,fix(tokenizer): add special tokens to empty inputs,closed,2025-11-14 22:38:38,2025-11-18 19:16:56,
ollama/ollama,13090,docs: add logprobs to openapi,closed,2025-11-14 22:05:03,2025-11-14 22:14:58,
ollama/ollama,13089,"New and FRUSTRATING very limiting max tokens on the cloud models to only 16,384",closed,2025-11-14 18:29:39,2025-11-14 21:10:00,"bug,cloud"
ollama/ollama,13088,log: warn if user overrides detected,closed,2025-11-14 16:53:27,2025-11-14 22:36:29,
ollama/ollama,13087,Add Support for Distributed Inferencing (continued on AMD strix halo),open,2025-11-14 15:47:42,,
ollama/ollama,13086,Vulkan on intel iGPU results in gibberish,closed,2025-11-14 13:06:26,2025-11-15 21:15:10,"bug,vulkan"
ollama/ollama,13085,Is AMD's AI Pro R9700 supported?,open,2025-11-14 13:03:57,,bug
ollama/ollama,13084,Qwen3-VL produces garbled output when image inputs exceed num_ctx in multi-turn conversations,open,2025-11-14 08:48:19,,bug
ollama/ollama,13083,GPU utilization issue,closed,2025-11-14 02:33:43,2025-11-21 00:32:31,
ollama/ollama,13082,feat(model): deepseekocr,closed,2025-11-13 21:24:20,2025-11-19 00:11:37,
ollama/ollama,13081,app/ui: refactor to use Ollama endpoints for user auth and health checks,open,2025-11-13 20:21:14,,
ollama/ollama,13080,How to compute hash for model download verification ?,closed,2025-11-13 16:49:53,2025-11-17 09:18:02,
ollama/ollama,13079,app/ui: fix to point ollama client to ui backend in dev mode,closed,2025-11-13 16:35:31,2025-11-17 17:58:35,
ollama/ollama,13078,Fix function name and improve test case readability,closed,2025-11-13 15:47:08,2025-11-16 02:54:28,
ollama/ollama,13077,sched: context length reuse,open,2025-11-13 13:23:52,,
ollama/ollama,13076,tools: add tool call id to qwen3coder parser,closed,2025-11-13 09:38:58,2025-11-13 09:51:43,
ollama/ollama,13075,Ollama will not build against CUDA later than 12.6 (fixed),closed,2025-11-13 08:39:32,2025-11-16 13:29:03,bug
ollama/ollama,13074,Ubuntu 400 bug issue,closed,2025-11-13 07:40:09,2025-11-23 20:00:31,"bug,needs more info"
ollama/ollama,13073,docs: add Ollama App iOS to community integrations,open,2025-11-13 06:12:23,,
ollama/ollama,13072,docs: fix typo (VSCode -> VS Code),closed,2025-11-13 04:45:44,2025-11-13 04:49:33,
ollama/ollama,13071,nomic-embed-text model implementation ,closed,2025-11-13 03:49:15,2025-11-19 02:28:10,
ollama/ollama,13070,Failure during GPU discovery. Causing system-wide crashed 6700 xt,open,2025-11-13 03:26:22,,"bug,linux,amd"
ollama/ollama,13069,"0.12.10 uses only the CPU, while 0.9.6 uses the GPU.",closed,2025-11-13 02:56:49,2025-11-13 06:24:05,bug
ollama/ollama,13068,logprob: add bytes to logprobs,closed,2025-11-13 02:06:51,2025-11-13 21:49:25,
ollama/ollama,13067,app: remove source code for previous JavaScript-based macOS app,closed,2025-11-13 01:34:35,2025-11-13 04:37:43,
ollama/ollama,13066,"After upgrading Ollama from version 0.12.1 to 0.12.10, the PotPlayer subtitle translation plugin request timed out with status code 500.",open,2025-11-13 01:03:23,,bug
ollama/ollama,13065,Fix incorrect header for community integrations,closed,2025-11-13 00:51:52,2025-11-13 01:00:16,
ollama/ollama,13064,MacOS: Dark theme dock icon,open,2025-11-13 00:10:36,,"feature request,app"
ollama/ollama,13063,Add deepseek v3.1,closed,2025-11-12 19:33:10,2025-11-18 02:03:21,
ollama/ollama,13062,ci: fix win vulkan,closed,2025-11-12 18:31:33,2025-11-12 18:32:24,
ollama/ollama,13061,Ollama Linux with Multiple AMD GPUs Fails to Use Any AMD GPU Since 0.12.6 --AMD gfx1030 AMD 6650 GPU,closed,2025-11-12 18:15:18,2025-11-14 16:36:37,"bug,linux,amd"
ollama/ollama,13060,Panic: failed to sample token.,closed,2025-11-12 15:50:24,2025-11-13 15:36:13,bug
ollama/ollama,13059,Fix single directory selector,open,2025-11-12 11:54:55,,
ollama/ollama,13058,chore: fix incorrect function name in comment,open,2025-11-12 11:25:06,,
ollama/ollama,13057,integration: improve tool calling tests,open,2025-11-12 01:18:19,,
ollama/ollama,13056,Rename api-reference.md back to api.md since redirect stopped working,closed,2025-11-11 23:41:29,2025-11-11 23:53:06,
ollama/ollama,13055,docs/openapi: document that delete and copy responses are empty,closed,2025-11-11 23:04:33,2025-11-11 23:07:22,
ollama/ollama,13054,Ollama 0.12.10 embedding crash (nomic-embed-text-v1.5 on macOS),open,2025-11-11 21:12:41,,"bug,macos,embeddings"
ollama/ollama,13053,fix tensor merge,closed,2025-11-11 18:46:53,2025-11-13 23:32:34,
ollama/ollama,13052,flash attn: add auto mode for llama engine,open,2025-11-11 17:56:55,,
ollama/ollama,13051,GPT-oss-120b KV cache defragmentation.,closed,2025-11-11 15:15:10,2025-11-11 16:54:27,bug
ollama/ollama,13050,Ollama 0.12.10 fails to find CUDA compiler (fixed with work around),closed,2025-11-11 15:14:21,2025-11-16 13:28:45,"bug,build"
ollama/ollama,13049,When will minimax-m2 be supported?,open,2025-11-11 12:55:12,,"bug,model"
ollama/ollama,13048,Error 500 Internal Server Error: unmarshal: invalid character 'I' looking for beginning of value.,open,2025-11-11 10:33:14,,bug
ollama/ollama,13047,Does qwen3-vl multimodal support transferring multiple images?,closed,2025-11-11 08:48:10,2025-11-12 00:11:14,
ollama/ollama,13046,docs: add comprehensive 12-phase roadmap for advanced features,closed,2025-11-11 07:08:10,2025-11-11 19:07:30,
ollama/ollama,13045,docs: fix metal gpu section header,closed,2025-11-11 05:35:40,2025-11-11 05:51:22,
ollama/ollama,13044,qwen3-vl:30b-a3b-instruct-q8_0  Image recognition error,closed,2025-11-11 04:02:57,2025-11-12 14:10:39,"bug,needs more info"
ollama/ollama,13043,qwen3:30b  Severe bug found,closed,2025-11-11 02:21:04,2025-11-23 19:58:11,"bug,needs more info"
ollama/ollama,13042,Prefer dedicated GPUs over iGPUs when offloading,closed,2025-11-11 00:58:01,2025-11-11 21:11:08,
ollama/ollama,13041,app/ui: do not send thinking to prevent  errors with cloud provider,closed,2025-11-11 00:09:27,2025-11-11 21:09:24,
ollama/ollama,13040,"Ollama hangs in infinite loop during code update requests, requires service restart",closed,2025-11-10 18:27:30,2025-11-25 19:23:26,bug
ollama/ollama,13039,The Docker image tag `ollama:latest` does not point to the latest release.,closed,2025-11-10 17:40:37,2025-11-11 01:14:20,"bug,docker"
ollama/ollama,13038,TOON Format,open,2025-11-10 14:26:36,,feature request
ollama/ollama,13037,`ollama run` in Windows 0.12.4+ doesn't start the server.,open,2025-11-10 14:21:29,,"bug,windows"
